,Timestamp,Station_ID,Station_Name,Value
165,2025-01-02T09:59:00+08:00,S06,Paya Lebar,29.3
166,2025-01-02T09:59:00+08:00,S111,Scotts Road,28.6
167,2025-01-02T09:59:00+08:00,S121,Old Choa Chu Kang Road,29.1
168,2025-01-02T10:59:00+08:00,S109,Ang Mo Kio Avenue 5,28.7
169,2025-01-02T10:59:00+08:00,S106,Pulau Ubin,30.2
170,2025-01-02T10:59:00+08:00,S117,Banyan Road,30.5
171,2025-01-02T10:59:00+08:00,S107,East Coast Parkway,28.9
172,2025-01-02T10:59:00+08:00,S104,Woodlands Avenue 9,29.1
173,2025-01-02T10:59:00+08:00,S115,Tuas South Avenue 3,29.0
174,2025-01-02T10:59:00+08:00,S116,West Coast Highway,29.5
175,2025-01-02T10:59:00+08:00,S60,Sentosa,30.8
176,2025-01-02T10:59:00+08:00,S50,Clementi Road,29.5
177,2025-01-02T10:59:00+08:00,S43,Kim Chuan Road,29.6
178,2025-01-02T10:59:00+08:00,S24,Upper Changi Road North,29.7
179,2025-01-02T10:59:00+08:00,S06,Paya Lebar,31.1
180,2025-01-02T10:59:00+08:00,S111,Scotts Road,28.8
181,2025-01-02T10:59:00+08:00,S121,Old Choa Chu Kang Road,30.0
182,2025-01-02T11:59:00+08:00,S109,Ang Mo Kio Avenue 5,30.1
183,2025-01-02T11:59:00+08:00,S106,Pulau Ubin,30.9
184,2025-01-02T11:59:00+08:00,S117,Banyan Road,31.4
185,2025-01-02T11:59:00+08:00,S107,East Coast Parkway,29.8
186,2025-01-02T11:59:00+08:00,S104,Woodlands Avenue 9,30.0
187,2025-01-02T11:59:00+08:00,S115,Tuas South Avenue 3,29.8
188,2025-01-02T11:59:00+08:00,S116,West Coast Highway,30.9
189,2025-01-02T11:59:00+08:00,S60,Sentosa,31.4
190,2025-01-02T11:59:00+08:00,S50,Clementi Road,30.6
191,2025-01-02T11:59:00+08:00,S43,Kim Chuan Road,30.2
192,2025-01-02T11:59:00+08:00,S24,Upper Changi Road North,30.8
193,2025-01-02T11:59:00+08:00,S06,Paya Lebar,31.6
194,2025-01-02T11:59:00+08:00,S111,Scotts Road,29.7
195,2025-01-02T11:59:00+08:00,S121,Old Choa Chu Kang Road,31.3
196,2025-01-02T12:59:00+08:00,S109,Ang Mo Kio Avenue 5,30.8
197,2025-01-02T12:59:00+08:00,S106,Pulau Ubin,31.7
198,2025-01-02T12:59:00+08:00,S117,Banyan Road,30.7
199,2025-01-02T12:59:00+08:00,S107,East Coast Parkway,30.4
200,2025-01-02T12:59:00+08:00,S104,Woodlands Avenue 9,30.4
201,2025-01-02T12:59:00+08:00,S115,Tuas South Avenue 3,30.0
202,2025-01-02T12:59:00+08:00,S116,West Coast Highway,30.4
203,2025-01-02T12:59:00+08:00,S60,Sentosa,31.6
204,2025-01-02T12:59:00+08:00,S50,Clementi Road,31.0
205,2025-01-02T12:59:00+08:00,S43,Kim Chuan Road,30.8
206,2025-01-02T12:59:00+08:00,S24,Upper Changi Road North,30.5
207,2025-01-02T12:59:00+08:00,S06,Paya Lebar,32.7
208,2025-01-02T12:59:00+08:00,S111,Scotts Road,31.2
209,2025-01-02T12:59:00+08:00,S121,Old Choa Chu Kang Road,30.3
210,2025-01-02T13:59:00+08:00,S109,Ang Mo Kio Avenue 5,29.5
211,2025-01-02T13:59:00+08:00,S106,Pulau Ubin,30.2
212,2025-01-02T13:59:00+08:00,S117,Banyan Road,31.9
213,2025-01-02T13:59:00+08:00,S107,East Coast Parkway,30.0
214,2025-01-02T13:59:00+08:00,S104,Woodlands Avenue 9,30.3
215,2025-01-02T13:59:00+08:00,S115,Tuas South Avenue 3,30.6
216,2025-01-02T13:59:00+08:00,S116,West Coast Highway,31.8
217,2025-01-02T13:59:00+08:00,S60,Sentosa,31.6
218,2025-01-02T13:59:00+08:00,S50,Clementi Road,30.6
219,2025-01-02T13:59:00+08:00,S43,Kim Chuan Road,30.1
220,2025-01-02T13:59:00+08:00,S24,Upper Changi Road North,30.7
221,2025-01-02T13:59:00+08:00,S06,Paya Lebar,31.4
222,2025-01-02T13:59:00+08:00,S111,Scotts Road,30.6
223,2025-01-02T13:59:00+08:00,S121,Old Choa Chu Kang Road,32.0
224,2025-01-02T14:59:00+08:00,S109,Ang Mo Kio Avenue 5,30.6
225,2025-01-02T14:59:00+08:00,S106,Pulau Ubin,30.7
226,2025-01-02T14:59:00+08:00,S117,Banyan Road,31.9
227,2025-01-02T14:59:00+08:00,S107,East Coast Parkway,29.9
228,2025-01-02T14:59:00+08:00,S104,Woodlands Avenue 9,29.8
229,2025-01-02T14:59:00+08:00,S115,Tuas South Avenue 3,31.0
230,2025-01-02T14:59:00+08:00,S116,West Coast Highway,31.3
231,2025-01-02T14:59:00+08:00,S60,Sentosa,31.3
232,2025-01-02T14:59:00+08:00,S50,Clementi Road,31.0
233,2025-01-02T14:59:00+08:00,S43,Kim Chuan Road,30.5
234,2025-01-02T14:59:00+08:00,S24,Upper Changi Road North,30.7
235,2025-01-02T14:59:00+08:00,S06,Paya Lebar,31.8
236,2025-01-02T14:59:00+08:00,S111,Scotts Road,30.4
237,2025-01-02T14:59:00+08:00,S121,Old Choa Chu Kang Road,31.2
238,2025-01-02T15:59:00+08:00,S109,Ang Mo Kio Avenue 5,30.2
239,2025-01-02T15:59:00+08:00,S106,Pulau Ubin,30.5
240,2025-01-02T15:59:00+08:00,S117,Banyan Road,29.3
241,2025-01-02T15:59:00+08:00,S107,East Coast Parkway,30.2
242,2025-01-02T15:59:00+08:00,S104,Woodlands Avenue 9,29.3
243,2025-01-02T15:59:00+08:00,S115,Tuas South Avenue 3,30.3
244,2025-01-02T15:59:00+08:00,S116,West Coast Highway,29.4
245,2025-01-02T15:59:00+08:00,S60,Sentosa,30.3
246,2025-01-02T15:59:00+08:00,S50,Clementi Road,29.9
247,2025-01-02T15:59:00+08:00,S43,Kim Chuan Road,30.0
248,2025-01-02T15:59:00+08:00,S24,Upper Changi Road North,30.6
249,2025-01-02T15:59:00+08:00,S06,Paya Lebar,31.9
250,2025-01-02T15:59:00+08:00,S111,Scotts Road,29.9
251,2025-01-02T15:59:00+08:00,S121,Old Choa Chu Kang Road,31.0
252,2025-01-02T16:59:00+08:00,S109,Ang Mo Kio Avenue 5,29.4
253,2025-01-02T16:59:00+08:00,S106,Pulau Ubin,30.0
254,2025-01-02T16:59:00+08:00,S117,Banyan Road,29.9
255,2025-01-02T16:59:00+08:00,S107,East Coast Parkway,29.8
256,2025-01-02T16:59:00+08:00,S104,Woodlands Avenue 9,26.9
257,2025-01-02T16:59:00+08:00,S115,Tuas South Avenue 3,28.0
258,2025-01-02T16:59:00+08:00,S116,West Coast Highway,27.3
259,2025-01-02T16:59:00+08:00,S60,Sentosa,26.7
260,2025-01-02T16:59:00+08:00,S50,Clementi Road,29.0
261,2025-01-02T16:59:00+08:00,S43,Kim Chuan Road,30.2
262,2025-01-02T16:59:00+08:00,S24,Upper Changi Road North,29.9
263,2025-01-02T16:59:00+08:00,S06,Paya Lebar,31.0
264,2025-01-02T16:59:00+08:00,S111,Scotts Road,29.3
